CONSTITUENT_ID	AGE	GENDER	MARRIED	STATE	COUNT(F.FAMILY_ID)	COUNT(E.EVENT_ATTENDEE_ID)	COUNT(V.VOLUNTEER_ID)	sum(T.AMOUNT)
154314	87	Female	0	Illinois	0	38	0	3630
154351	44	Female	1	Illinois	0	0	0	20
162587	63	Female	0	Montana	0	0	0	105
162612	55	Female	1	Illinois	0	2	0	75
162624	45	Female	1	Virginia	0	3	0	65
162651	57	Male	1	Illinois	0	0	6	255
162667	72	Female	0	No State	0	0	0	25
162689	57	Female	1	Connecticut	0	0	0	310
162808	60	Female	1	Illinois	14	0	0	662
162871	69	Female	1	Illinois	28	0	28	1200
162936	67	Male	1	Connecticut	0	0	0	250
162966	64	Female	0	Illinois	0	0	7	625
165267	60	Female	0	Illinois	4	0	0	200
165354	58	Female	1	Illinois	0	5	0	100
165485	63	Male	0	No State	0	0	0	220
166622	66	Female	0	Illinois	0	0	0	20
166628	63	Female	0	Texas	0	0	0	20
166656	62	Female	0	Illinois	0	0	0	275
166768	58	Female	1	Illinois	0	28	0	2800
166791	59	Male	1	Illinois	0	0	0	30
166820	52	Male	1	Nevada	0	0	0	50
167029	55	Male	0	Illinois	0	0	0	10
167135	52	Female	1	Illinois	0	1	0	20
167166	68	Male	1	Illinois	0	0	0	350
174067	53	Female	1	Rhode Island	0	0	0	750
174103	50	Female	1	Illinois	0	0	0	195
175305	70	Female	1	Illinois	0	0	0	50
175315	70	Female	0	Illinois	0	0	0	60
175469	68	Female	1	Illinois	1	1	0	10
175640	62	Male	1	Illinois	0	9	0	600
175744	46	Female	1	Illinois	0	0	0	55
175746	45	Female	0	Indiana	0	0	0	25
175789	67	Male	1	Illinois	0	0	0	50
175843	64	Female	1	Arizona	0	0	0	100
175874	64	Female	1	Illinois	0	0	0	1200
175879	65	Female	1	Illinois	0	0	0	45
175933	66	Female	1	Florida	0	0	0	470
175991	64	Male	1	Illinois	20	20	0	2125
176019	57	Female	1	Illinois	46	46	0	1340
181105	25	Female	0	Illinois	0	0	0	1
181646	27	Female	0	Illinois	0	0	0	2
181791	24	Female	0	Illinois	0	0	0	2
182156	62	Female	0	Virginia	0	0	0	85
182429	61	Female	1	Illinois	0	0	0	125
182465	62	Female	1	Illinois	0	0	0	200
182589	55	Male	1	Illinois	0	0	0	345
189255	78	Male	1	Illinois	0	0	0	35
189309	55	Female	1	Illinois	0	2	2	50
189340	53	Female	1	Illinois	0	0	0	190
189419	57	Female	1	Illinois	0	105	105	14120
189518	60	Female	1	Illinois	0	2	0	15
189578	65	Female	1	Illinois	0	0	0	535
189685	60	Female	1	Illinois	0	11	0	800
189702	61	Male	0	New Mexico	0	0	0	20
189725	75	Female	0	Illinois	0	6	6	600
189759	46	Female	1	Illinois	0	0	0	10
189769	60	Male	0	Illinois	0	0	0	10
189857	65	Female	1	Illinois	0	5	0	400
207222	67	Male	1	Illinois	0	0	0	120
207253	50	Female	1	Illinois	0	0	17	450
207389	62	Female	1	Illinois	0	0	0	55
208581	62	Male	1	Pennsylvania	0	0	0	2995
208634	59	Female	1	Illinois	0	5	5	125
208703	59	Female	0	Illinois	0	0	0	25
208707	0	Female	0	Wisconsin	0	0	0	150
224392	67	Female	1	Illinois	0	2	2	20
224439	67	Female	1	Illinois	0	14	14	310
224674	63	Female	1	No State	0	0	0	10
224718	58	Female	1	Minnesota	0	0	0	1300
224847	43	Female	1	Georgia	0	0	0	250
224860	41	Female	0	California	0	0	0	100
224878	62	Female	1	Illinois	15	0	0	725
229504	29	Female	0	Illinois	0	0	0	300
233287	23	Female	0	Illinois	0	0	0	1
237424	74	Male	1	Illinois	7	0	0	575
237426	66	Female	1	Illinois	0	4	0	70
237445	75	Female	1	Illinois	0	100	0	5750
237823	74	Female	0	Illinois	0	0	0	100
237903	76	Female	1	Illinois	0	0	0	10
248604	23	Female	0	Illinois	0	0	0	2
249037	73	Male	1	Illinois	0	1800	1800	144210.59994506836
249279	46	Female	0	North Carolina	0	0	0	10
250596	42	Female	1	Pennsylvania	0	10	0	220
253043	61	Female	1	Michigan	0	0	0	30
253201	61	Female	1	Missouri	0	0	0	25
253205	65	Female	0	Montana	0	0	0	75
253481	62	Male	1	Illinois	0	0	0	295
253601	63	Female	0	Illinois	0	0	0	60
253657	63	Female	1	Illinois	0	0	0	145
254961	76	Female	0	No State	0	0	0	65
257623	58	Female	0	Illinois	0	0	0	75
257636	57	Female	1	Illinois	0	0	0	20
257806	65	Female	0	Illinois	0	0	0	215
257926	75	Female	0	No State	0	0	0	170
260005	49	Female	1	Illinois	0	0	0	20
260097	66	Female	1	Arizona	0	0	0	700
261462	60	Female	0	Illinois	0	0	0	50
261692	56	Female	0	Illinois	0	0	0	200
261754	62	Female	0	Illinois	0	0	0	15
261919	58	Female	0	Illinois	0	0	0	85
261983	84	Male	1	California	0	0	0	60
262175	57	Female	1	Virginia	0	0	0	1025
263602	60	Female	1	Illinois	0	26	0	795
263712	61	Female	1	Illinois	40	40	0	1100
263810	63	Female	1	North Carolina	0	0	0	370
263815	61	Female	0	New Mexico	0	0	0	75
264055	49	Female	1	Illinois	0	0	0	20
264109	62	Male	0	Illinois	0	0	0	25
264248	46	Female	1	California	0	0	0	75
264595	66	Female	1	Oregon	0	0	0	500
265879	65	Male	1	Illinois	0	0	0	25
268117	59	Female	1	Illinois	0	26	26	1290
268241	58	Female	1	Illinois	0	0	0	75
268499	67	Female	1	Illinois	0	10	0	300
268576	69	Female	0	Illinois	0	2	0	50
268608	61	Female	0	Arizona	0	0	0	40
268698	58	Female	1	Illinois	0	9	0	260
268775	71	Female	0	Illinois	0	0	0	100
1001716	63	Female	0	Texas	0	0	0	NULL
1001807	63	Female	1	Wisconsin	0	0	0	NULL
1001853	65	Female	0	Illinois	0	1	1	NULL
1001919	63	Male	1	Virginia	0	0	0	NULL
1001958	62	Female	0	Arizona	0	0	0	NULL
1001993	62	Female	0	Arizona	0	0	0	NULL
1002014	71	Female	0	Illinois	0	0	0	NULL
1002044	62	Female	1	Illinois	2	0	0	NULL
